"BehaviorSpace results (NetLogo 6.0.1)"
"pollution.nlogo"
"experiment"
"08/16/2018 16:05:58:533 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","punishedTurtlesWeight","surroundingWasteWeight","punishedCounterWeight","cleaningAmount","agentNumber","wasteAmount","[step]","mean [pollution] of patches"
"124","0","0","1","0.02","300","15","1000","0"
"125","0","0","1","0.02","300","15","1000","0"
"126","0","0","1","0.02","300","15","1000","0"
"127","0","0","1","0.02","300","15","1000","0"
"128","0","0","1","0.02","300","15","1000","0"
"129","0","0","1","0.02","300","15","1000","0"
"130","0","0","1","0.02","300","15","1000","0"
"131","0","0","1","0.02","300","15","1000","0"
"132","0","0","1","0.02","300","15","1000","0"
"133","0","0","1","0.02","300","15","1000","0"
"134","0","0","1","0.02","300","15","1000","0"
"135","0","0","1","0.02","300","15","1000","0"
"136","0","0","1","0.02","300","15","1000","0"
"137","0","0","1","0.02","300","15","1000","0"
"138","0","0","1","0.02","300","15","1000","0"
"139","0","0","1","0.02","300","15","1000","0"
"140","0","0","1","0.02","300","15","1000","0"
"141","0","0","1","0.02","300","15","1000","0"
"142","0","0","1","0.02","300","15","1000","0"
"143","0","0","1","0.02","300","15","1000","0"
"144","0","0","1","0.02","300","15","1000","0"
"145","0","0","1","0.02","300","15","1000","0"
"146","0","0","1","0.02","300","15","1000","0"
"147","0","0","1","0.02","300","15","1000","0"
"148","0","0","1","0.02","300","15","1000","0"
"149","0","0","1","0.02","300","15","1000","0"
"150","0","0","1","0.02","300","15","1000","0"
"151","0","0.25","0","0.02","300","15","1000","99.64532598714428"
"152","0","0.25","0","0.02","300","15","1000","99.62541781450875"
"153","0","0.25","0","0.02","300","15","1000","99.62969696969688"
"154","0","0.25","0","0.02","300","15","1000","99.63781450872361"
"155","0","0.25","0","0.02","300","15","1000","99.62685032139579"
"156","0","0.25","0","0.02","300","15","1000","99.62701561065207"
"157","0","0.25","0","0.02","300","15","1000","99.647033976125"
"158","0","0.25","0","0.02","300","15","1000","99.61821854912785"
"159","0","0.25","0","0.02","300","15","1000","99.63171717171734"
"160","0","0.25","0","0.02","300","15","1000","99.63733700642808"
"161","0","0.25","0","0.02","300","15","1000","99.61438016528923"
"162","0","0.25","0","0.02","300","15","1000","99.64007346189166"
"163","0","0.25","0","0.02","300","15","1000","99.63693296602398"
"164","0","0.25","0","0.02","300","15","1000","99.63052341597795"
"165","0","0.25","0","0.02","300","15","1000","99.62396694214873"
"166","0","0.25","0","0.02","300","15","1000","99.62167125803501"
"167","0","0.25","0","0.02","300","15","1000","99.61678604224049"
"168","0","0.25","0","0.02","300","15","1000","99.62549127640057"
"169","0","0.25","0","0.02","300","15","1000","99.63832874196503"
"170","0","0.25","0","0.02","300","15","1000","99.63175390266302"
"171","0","0.25","0","0.02","300","15","1000","99.63037649219477"
"172","0","0.25","0","0.02","300","15","1000","99.6253443526173"
"173","0","0.25","0","0.02","300","15","1000","99.62971533516996"
"174","0","0.25","0","0.02","300","15","1000","99.64400367309455"
"175","0","0.25","0","0.02","300","15","1000","99.619614325069"
"176","0","0.25","0","0.02","300","15","1000","99.63981634527073"
"177","0","0.25","0","0.02","300","15","1000","99.60877869605144"
"178","0","0.25","0","0.02","300","15","1000","99.62385674931143"
"179","0","0.25","0","0.02","300","15","1000","99.61564738292016"
"180","0","0.25","0","0.02","300","15","1000","99.6289990817265"
"181","0","0.25","0.25","0.02","300","15","1000","99.58409550045909"
"182","0","0.25","0.25","0.02","300","15","1000","99.59634527089091"
"183","0","0.25","0.25","0.02","300","15","1000","99.58960514233243"
"184","0","0.25","0.25","0.02","300","15","1000","99.55884297520679"
"185","0","0.25","0.25","0.02","300","15","1000","99.59933884297529"
"186","0","0.25","0.25","0.02","300","15","1000","99.59794306703392"
"188","0","0.25","0.25","0.02","300","15","1000","99.59750229568417"
"187","0","0.25","0.25","0.02","300","15","1000","99.58617079889821"
"189","0","0.25","0.25","0.02","300","15","1000","99.58778696051435"
"190","0","0.25","0.25","0.02","300","15","1000","99.56833792470174"
"191","0","0.25","0.25","0.02","300","15","1000","99.60292011019288"
"192","0","0.25","0.25","0.02","300","15","1000","99.59109274563801"
"193","0","0.25","0.25","0.02","300","15","1000","99.5963269054179"
"194","0","0.25","0.25","0.02","300","15","1000","99.58861340679523"
"195","0","0.25","0.25","0.02","300","15","1000","99.57963269054198"
"196","0","0.25","0.25","0.02","300","15","1000","99.58001836547298"
"197","0","0.25","0.25","0.02","300","15","1000","99.60301193755738"
"198","0","0.25","0.25","0.02","300","15","1000","99.60543617998177"
"199","0","0.25","0.25","0.02","300","15","1000","99.59985307621677"
"200","0","0.25","0.25","0.02","300","15","1000","99.5819100091828"
"201","0","0.25","0.25","0.02","300","15","1000","99.5779247015611"
"202","0","0.25","0.25","0.02","300","15","1000","99.60826446280986"
"203","0","0.25","0.25","0.02","300","15","1000","99.57544536271824"
"204","0","0.25","0.25","0.02","300","15","1000","99.60157943067036"
"205","0","0.25","0.25","0.02","300","15","1000","99.57742883379251"
"206","0","0.25","0.25","0.02","300","15","1000","99.58639118457317"
"207","0","0.25","0.25","0.02","300","15","1000","99.59248852157971"
"208","0","0.25","0.25","0.02","300","15","1000","99.59078053259886"
"209","0","0.25","0.25","0.02","300","15","1000","99.55500459136823"
"210","0","0.25","0.25","0.02","300","15","1000","99.56938475665747"
"211","0","0.25","0.5","0.02","300","15","1000","99.56179981634538"
"212","0","0.25","0.5","0.02","300","15","1000","99.54106519742894"
"213","0","0.25","0.5","0.02","300","15","1000","99.56260789715334"
"214","0","0.25","0.5","0.02","300","15","1000","99.5566207529844"
"215","0","0.25","0.5","0.02","300","15","1000","99.58299357208448"
"216","0","0.25","0.5","0.02","300","15","1000","99.55467401285591"
"217","0","0.25","0.5","0.02","300","15","1000","99.54696051423338"
"218","0","0.25","0.5","0.02","300","15","1000","99.54137741046833"
"219","0","0.25","0.5","0.02","300","15","1000","99.55403122130411"
"220","0","0.25","0.5","0.02","300","15","1000","99.5421487603307"
"221","0","0.25","0.5","0.02","300","15","1000","99.54056932966026"
"222","0","0.25","0.5","0.02","300","15","1000","99.54639118457334"
"223","0","0.25","0.5","0.02","300","15","1000","99.58034894398541"
"224","0","0.25","0.5","0.02","300","15","1000","99.5524334251609"
"225","0","0.25","0.5","0.02","300","15","1000","99.52527089072547"
"226","0","0.25","0.5","0.02","300","15","1000","99.54988062442615"
"227","0","0.25","0.5","0.02","300","15","1000","99.53682277318659"
"228","0","0.25","0.5","0.02","300","15","1000","99.55634527089084"
"229","0","0.25","0.5","0.02","300","15","1000","99.51241505968775"
"230","0","0.25","0.5","0.02","300","15","1000","99.50512396694236"
"231","0","0.25","0.5","0.02","300","15","1000","99.5640036730947"
"232","0","0.25","0.5","0.02","300","15","1000","99.52811753902668"
"233","0","0.25","0.5","0.02","300","15","1000","99.52420569329678"
"234","0","0.25","0.5","0.02","300","15","1000","99.5565840220387"
"235","0","0.25","0.5","0.02","300","15","1000","99.5612121212122"
"236","0","0.25","0.5","0.02","300","15","1000","99.56929292929298"
"237","0","0.25","0.5","0.02","300","15","1000","99.52091827364573"
"238","0","0.25","0.5","0.02","300","15","1000","99.54786042240582"
"239","0","0.25","0.5","0.02","300","15","1000","99.52960514233254"
"240","0","0.25","0.5","0.02","300","15","1000","99.55322314049607"
"241","0","0.25","0.75","0.02","300","15","1000","99.53392102846658"
"242","0","0.25","0.75","0.02","300","15","1000","99.5169146005511"
"243","0","0.25","0.75","0.02","300","15","1000","99.44617079889802"
"244","0","0.25","0.75","0.02","300","15","1000","99.53842056932963"
"245","0","0.25","0.75","0.02","300","15","1000","99.50091827364552"
"246","0","0.25","0.75","0.02","300","15","1000","99.49649219467422"
"247","0","0.25","0.75","0.02","300","15","1000","99.51292929292948"
"248","0","0.25","0.75","0.02","300","15","1000","99.48831955922878"
"249","0","0.25","0.75","0.02","300","15","1000","99.517153351699"
"250","0","0.25","0.75","0.02","300","15","1000","99.4993388429753"
"251","0","0.25","0.75","0.02","300","15","1000","99.51123966942173"
"252","0","0.25","0.75","0.02","300","15","1000","99.52044077134984"
"253","0","0.25","0.75","0.02","300","15","1000","99.52541781450891"
"254","0","0.25","0.75","0.02","300","15","1000","99.50380165289252"
